2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 838.0x1024.0
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {293, 0, 203x1024}
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {293, 0, 203x1024}
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 838.0x1024.0
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {293, 0, 203x1024}
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {293, 0, 203x1024}
2025-06-05 11:16:55 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 838.0x1024.0
2025-06-05 11:16:56 INFO  com.raymedis.rxviewui.controller.ExportStudy - org.width(): 2500 patientBodyPart.getEditedMat().width(): 838
2025-06-05 11:16:56 INFO  com.raymedis.rxviewui.controller.ExportStudy - saveWithAnnotationBurn Crop Multiple: 2.983293556085919
2025-06-05 11:16:56 INFO  com.raymedis.rxviewui.controller.ExportStudy - Crop Rect: {874, 0, 608x3052}
2025-06-05 11:16:56 INFO  com.raymedis.rxviewui.controller.ExportStudy - org width: 2500, height: 3052
2025-06-05 11:16:56 INFO  com.raymedis.rxviewui.service.study.StudyService - study DynamicCanvasElementsResize values set with multiple: 2.9950738916256157
2025-06-05 11:16:56 INFO  com.raymedis.rxviewui.service.study.StudyService - study Line Width: 5.990147783251231, Ellipse Radius X: 23.960591133004925, Ellipse Radius Y: 23.960591133004925, Label Font Size: 41.93103448275862, Rect Width: 269.5566502463054, Rect Height: 89.85221674876847, Custom Font Icon Size: 599.0147783251232
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {293, 0, 203x1024}
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {293, 0, 203x1024}
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 2500.0x3052.0
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.controller.ExportStudy - rect x : 874.2192657289391  rect y : 0.0 rect width: 608.5664957091357, height: 3054.892601431981
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {874, 0, 608x3054}
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {874, 0, 608x3052}
2025-06-05 11:16:57 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 2500.0x3052.0
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.service.study.StudyService - study mat.rows() * width : 1024 1024.0
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.service.study.StudyService - study DynamicCanvasElementsResize values set with multiple: 1.0
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.service.study.StudyService - study Line Width: 2.0, Ellipse Radius X: 8.0, Ellipse Radius Y: 8.0, Label Font Size: 14.0, Rect Width: 90.0, Rect Height: 30.0, Custom Font Icon Size: 200.0
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 838.0x1024.0
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {293, 0, 203x1024}
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - after cropRect : {293, 0, 203x1024}
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - displayImage : 838.0x1024.0
2025-06-05 11:17:09 INFO  com.raymedis.rxviewui.modules.ImageProcessing.DrawToolsResource.CanvasMainChange - cropRect : {293, 0, 203x1024}
