2025-07-17 12:17:20 ERROR c.r.r.s.s.ProcessingToolsController - CanvasMainChange.mainDrawTool is null, cannot bind sliders.
2025-07-17 12:17:20 INFO  c.r.r.s.study.StudyMainController - Console is ON
2025-07-17 12:17:43 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:43 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:43 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -13018.417021276597 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -13214.393191489362 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -13466.362553191488 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -13746.328510638297 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -13970.301276595745 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -14222.270638297872 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -14390.250212765959 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -14558.229787234042 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -14614.222978723403 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -14642.219574468085 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -14698.212765957445 1.0
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:44 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:49 INFO  c.r.r.s.s.ProcessingToolsController - Slider moved: oldVal=0.0 newVal=-0.554016620498615
2025-07-17 12:17:49 INFO  c.r.r.s.study.ProcessingToolsService - Processing Brightness Slider with value: -0.554016620498615
2025-07-17 12:17:49 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:49 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -142.38227146814404 1.0
2025-07-17 12:17:49 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:49 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:49 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
